"eastwest","eumember","country","expert","var00001","party_id","year","party","vote","family","position","salience1","dissent2","future","ep","fiscal","employ","cohesion","environ","asylum","foreign","lrgen","lrecon","galtan","lr_gen","radrt","con","lib","cd","soc","radleft","green","reg","aus","be","dk","esp","fin","fr","ger","gr","irl","it","nl","por","sw","uk","pro_anti"
1,1,7,,,703,1984,"LP",9.399999618530273,5,4,2.8299999237060547,2.8299999237060547,,,,,,,,,,,,0.35999998450279236,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1,1,7,,,704,1984,"WP",3.299999952316284,6,2.6700000762939453,2.8299999237060547,1.6699999570846558,,,,,,,,,,,,0.17999999225139618,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,7,,,705,1984,"GREENS",0,7,3.5999999046325684,2.5999999046325684,2.5,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1,1,7,,,707,1984,"SF",3.299999952316284,8,2.5,1.8300000429153442,1.3300000429153442,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,7,,,708,1984,"DS",0.44999998807907104,6,3.5,2,1.5,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,8,,,801,1984,"DC/PP",32.900001525878906,4,6.380000114440918,3.75,1.6699999570846558,,,,,,,,,,,,0.5400000214576721,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
1,1,8,,,802,1984,"PCI",29.899999618530273,6,5.800000190734863,3,2.5,,,,,,,,,,,,0.1599999964237213,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
1,1,8,,,804,1984,"PSI",11.399999618530273,5,6.380000114440918,2.880000114440918,1.600000023841858,,,,,,,,,,,,0.3100000023841858,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
1,1,8,,,805,1984,"MSI-DN",6.800000190734863,1,1.6299999952316284,2.630000114440918,1.3300000429153442,,,,,,,,,,,,0.9100000262260437,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1,8,,,806,1984,"PRI",5.099999904632568,3,6.5,3.5,1.1699999570846558,,,,,,,,,,,,0.48000001907348633,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
1,1,8,,,807,1984,"PSDI",4.099999904632568,5,6.130000114440918,2.75,1.399999976158142,,,,,,,,,,,,0.5400000214576721,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
1,1,8,,,808,1984,"FdV",0,7,5.599999904632568,2.4000000953674316,2,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
1,1,8,,,810,1984,"PLI",2.9000000953674316,3,6.630000114440918,3.430000066757202,1.600000023841858,,,,,,,,,,,,0.5900000333786011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
1,1,8,,,811,1984,"LN",0,8,5.5,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
1,1,8,,,813,1984,"PR",2.200000047683716,9,6.329999923706055,3.3299999237060547,1.25,,,,,,,,,,,,0.22999998927116394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
1,1,8,,,816,1984,"DP",1.5,6,2.6700000762939453,2,1.7999999523162842,,,,,,,,,,,,0.05000000074505806,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1,10,,,1001,1984,"CDA",29.399999618530273,4,6.440000057220459,2.6700000762939453,1.5,,,,,,,,,,,,0.5699999928474426,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
1,1,10,,,1002,1984,"PvdA",30.399999618530273,5,5.78000020980835,2.2200000286102295,2,,,,,,,,,,,,0.25999999046325684,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
1,1,10,,,1003,1984,"VVD",23.100000381469727,3,6.110000133514404,2.440000057220459,1.6299999952316284,,,,,,,,,,,,0.7400000095367432,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
1,1,10,,,1004,1984,"D'66",4.300000190734863,3,6.440000057220459,2.2200000286102295,1.3799999952316284,,,,,,,,,,,,0.4399999976158142,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
1,1,10,,,1006,1984,"SGP",1.899999976158142,10,2.559999942779541,2.2200000286102295,1.3799999952316284,,,,,,,,,,,,0.9199999570846558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,10,,,1007,1984,"GPV",0.800000011920929,10,2.890000104904175,2.109999895095825,1.3799999952316284,,,,,,,,,,,,0.8999999761581421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,10,,,1008,1984,"RPF",1.5,10,2.890000104904175,2.109999895095825,1.5,,,,,,,,,,,,0.9199999570846558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,10,,,1009,1984,"CD",0,1,1.8600000143051147,3,1,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,10,,,1010,1984,"PPR",1.600000023841858,6,3.3299999237060547,2.3299999237060547,1.8300000429153442,,,,,,,,,,,,0.1599999964237213,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,10,,,1011,1984,"PSP",4.300000190734863,6,1.8300000429153442,2.5,1.3300000429153442,,,,,,,,,,,,0.06000000238418579,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,10,,,1012,1984,"CPN",0,6,1.8300000429153442,2.3299999237060547,1,,,,,,,,,,,,0.07999999821186066,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,10,,,1013,1984,"EVP",0.699999988079071,9,3.3299999237060547,1.3300000429153442,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,11,,,1101,1984,"TORY",42.400001525878906,2,3.380000114440918,3,2.630000114440918,,,,,,,,,,,,0.7800000309944153,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,11,,,1102,1984,"LAB",27.600000381469727,5,4.5,2.75,2.75,,,,,,,,,,,,0.22999998927116394,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1,1,11,,,1103,1984,"SDLP",0.4000000059604645,5,6.329999923706055,2.3299999237060547,1.6699999570846558,,,,,,,,,,,,0.4599999785423279,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1,1,11,,,1104,1984,"LDP",25.399999618530273,3,6.630000114440918,3.5,2.130000114440918,,,,,,,,,,,,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1,1,11,,,1105,1984,"SNP",1.100000023841858,8,5.670000076293945,2.6700000762939453,1.6699999570846558,,,,,,,,,,,,0.4399999976158142,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1,1,11,,,1106,1984,"CYMRU",0.4000000059604645,8,5.670000076293945,2.6700000762939453,2,,,,,,,,,,,,0.3400000035762787,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1,1,11,,,1107,1984,"GREENUK",0.20000000298023224,7,5.5,2,3,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1,0,12,,,1201,1984,"CDU",18.200000762939453,6,1.2899999618530273,2.859999895095825,1.5700000524520874,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,12,,,1202,1984,"CDS-PP",12.399999618530273,2,6.860000133514404,3.430000066757202,2,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
1,0,12,,,1203,1984,"PPM",0.5,9,4.329999923706055,4,2,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1,0,12,,,1204,1984,"PRD",17.899999618530273,5,5,3,2.5,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
1,0,12,,,1205,1984,"PSP",36.099998474121094,5,6.860000133514404,4.139999866485596,1.5700000524520874,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
1,0,12,,,1206,1984,"PPD/PSD",27.200000762939453,3,6,3.7100000381469727,1.8300000429153442,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
1,0,12,,,1208,1984,"PSR",1.2000000476837158,6,1.7999999523162842,3.200000047683716,1.7999999523162842,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,12,,,1209,1984,"PCP",0,6,1,3,1,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,12,,,1210,1984,"PDC",0.8999999761581421,2,4.5,3,2,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1,0,12,,,1211,1984,"UDP",1.2000000476837158,6,1.5,3.3299999237060547,1,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,12,,,1212,1984,"MDP",0,9,2,2.6700000762939453,1.3300000429153442,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,13,,,1301,1984,"SPO",42.70000076293945,5,2.4000000953674316,1.75,1.399999976158142,,,,,,,,,,,,0.30000001192092896,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,13,,,1302,1984,"OVP",38.70000076293945,4,4.199999809265137,2.200000047683716,1.600000023841858,,,,,,,,,,,,0.5800000429153442,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,13,,,1303,1984,"FPO",4.400000095367432,1,6.400000095367432,2.799999952316284,1.399999976158142,,,,,,,,,,,,0.6800000071525574,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,0,13,,,1304,1984,"GA",1.899999976158142,7,2,1.25,1.5,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,13,,,1305,1984,"KPO",0.6000000238418579,6,1.2000000476837158,1.75,1,,,,,,,,,,,,0.05000000074505806,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,14,,,1401,1984,"SSDP",26.700000762939453,5,3.430000066757202,1.8600000143051147,1.7100000381469727,,,,,,,,,,,,0.30000001192092896,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,14,,,1402,1984,"KOK",22.100000381469727,2,4.860000133514404,2.7100000381469727,1.4299999475479126,,,,,,,,,,,,0.7199999690055847,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
