region_code,region_name,municipality_code,municipality_name,piece,group,x,y
12,Skåne län,1263,Svedala,1,103.1,382515.986068706,6150982.92842262
12,Skåne län,1263,Svedala,1,103.1,380441.428605843,6155085.7085113
12,Skåne län,1263,Svedala,1,103.1,382312.839583717,6157033.43998274
12,Skåne län,1263,Svedala,1,103.1,381330.791498375,6158889.07125426
12,Skåne län,1263,Svedala,1,103.1,383182.700717615,6159933.04611683
12,Skåne län,1263,Svedala,1,103.1,383201.469009908,6163566.39232789
12,Skåne län,1263,Svedala,1,103.1,385682.8309834,6163683.17286672
12,Skåne län,1263,Svedala,1,103.1,386360.798816922,6165032.36834047
12,Skåne län,1263,Svedala,1,103.1,388771.930673226,6164657.58481952
12,Skåne län,1263,Svedala,1,103.1,390325.017901615,6165528.20133385
12,Skåne län,1263,Svedala,1,103.1,391555.635423316,6165163.68989669
12,Skåne län,1263,Svedala,1,103.1,393133.267707132,6163578.83019148
12,Skåne län,1263,Svedala,1,103.1,395494.313182951,6158136.99687908
12,Skåne län,1263,Svedala,1,103.1,397196.694062624,6158633.52571047
12,Skåne län,1263,Svedala,1,103.1,398542.809604318,6155380.77885659
12,Skåne län,1263,Svedala,1,103.1,402160.906898432,6154615.17222703
12,Skåne län,1263,Svedala,1,103.1,401102.957147916,6153708.32872589
12,Skåne län,1263,Svedala,1,103.1,399948.192324667,6152186.67549476
12,Skåne län,1263,Svedala,1,103.1,397822.865350866,6149376.40377956
12,Skåne län,1263,Svedala,1,103.1,393098.481327127,6149182.67105704
12,Skåne län,1264,Skurup,1,104.1,402096.242153018,6150023.67933949
12,Skåne län,1264,Skurup,1,104.1,402160.906898432,6154615.17222703
12,Skåne län,1264,Skurup,1,104.1,403669.656640697,6154486.75161909
12,Skåne län,1264,Skurup,1,104.1,404664.89849651,6156835.15929075
12,Skåne län,1264,Skurup,1,104.1,405084.840888151,6159835.56774576
12,Skåne län,1264,Skurup,1,104.1,406600.28048481,6160594.80819641
12,Skåne län,1264,Skurup,1,104.1,409033.383825051,6156438.08898778
12,Skåne län,1264,Skurup,1,104.1,414689.268047806,6154405.74154439
12,Skåne län,1264,Skurup,1,104.1,414792.892110133,6148747.63682588
12,Skåne län,1264,Skurup,1,104.1,412662.700454112,6145749.3619441
12,Skåne län,1264,Skurup,1,104.1,414468.646799614,6142488.8663133
